transaction_id,account_id,customer_id,transaction_date,posted_date,description,merchant_name,transaction_type,amount,status,reference_number,synthetic_notice
TXN-0000001,ACCT-000008,CUST-00008,2026-04-05,2026-04-05,Transfer In - StreamBox Media,StreamBox Media,Transfer In,500.83,Posted,REF0000000193,Synthetic transaction
TXN-0000002,ACCT-000015,CUST-00015,2026-06-07,2026-06-07,Fee - Wire Fee,Wire Fee,Fee,-27.11,Posted,REF0000000386,Synthetic transaction
TXN-0000003,ACCT-000022,CUST-00022,2026-05-13,2026-05-13,Bill Pay - BrightFuel,BrightFuel,Bill Pay,-134.46,Posted,REF0000000579,Synthetic transaction
TXN-0000004,ACCT-000029,CUST-00029,2026-06-13,2026-06-13,Transfer In - FastShip,FastShip,Transfer In,850.48,Posted,REF0000000772,Synthetic transaction
TXN-0000005,ACCT-000036,CUST-00036,2026-06-03,2026-06-03,ATM - TuitionPay,TuitionPay,ATM,-316.7,Pending,REF0000000965,Synthetic transaction
TXN-0000006,ACCT-000043,CUST-00043,2026-02-10,2026-02-12,Refund - City Fitness,City Fitness,Refund,2869.21,Posted,REF0000001158,Synthetic transaction
TXN-0000007,ACCT-000050,CUST-00050,2026-05-13,2026-05-13,Card Purchase - RideNow Transit,RideNow Transit,Card Purchase,-195.87,Posted,REF0000001351,Synthetic transaction
TXN-0000008,ACCT-000057,CUST-00057,2026-03-19,2026-03-19,Card Purchase - Atlas Wireless,Atlas Wireless,Card Purchase,-404.21,Posted,REF0000001544,Synthetic transaction
TXN-0000009,ACCT-000064,CUST-00064,2026-04-30,2026-04-30,ACH Debit - TuitionPay,TuitionPay,ACH Debit,-615.56,Posted,REF0000001737,Synthetic transaction
TXN-0000010,ACCT-000071,CUST-00071,2026-05-16,2026-05-16,ACH Debit - BrightFuel,BrightFuel,ACH Debit,-516.71,Posted,REF0000001930,Synthetic transaction
TXN-0000011,ACCT-000078,CUST-00078,2026-04-17,2026-04-17,POS - FastShip,FastShip,POS,-501.53,Posted,REF0000002123,Synthetic transaction
TXN-0000012,ACCT-000085,CUST-00085,2026-03-07,2026-03-07,Bill Pay - Metro Grocery,Metro Grocery,Bill Pay,-193.27,Posted,REF0000002316,Synthetic transaction
TXN-0000013,ACCT-000092,CUST-00092,2026-06-20,2026-06-20,ACH Debit - City Fitness,City Fitness,ACH Debit,-196.98,Posted,REF0000002509,Synthetic transaction
TXN-0000014,ACCT-000099,CUST-00099,2026-06-12,2026-06-12,ATM - FastShip,FastShip,ATM,-663.83,Posted,REF0000002702,Synthetic transaction
TXN-0000015,ACCT-000106,CUST-00106,2026-05-29,2026-05-31,Transfer In - GreenLeaf Market,GreenLeaf Market,Transfer In,1385.75,Posted,REF0000002895,Synthetic transaction
TXN-0000016,ACCT-000113,CUST-00113,2026-03-18,2026-03-18,ATM - Atlas Wireless,Atlas Wireless,ATM,-195.72,Posted,REF0000003088,Synthetic transaction
TXN-0000017,ACCT-000120,CUST-00120,2026-05-06,2026-05-06,Bill Pay - RideNow Transit,RideNow Transit,Bill Pay,-450.05,Posted,REF0000003281,Synthetic transaction
TXN-0000018,ACCT-000127,CUST-00127,2026-02-04,2026-02-04,Bill Pay - City Fitness,City Fitness,Bill Pay,-320.21,Posted,REF0000003474,Synthetic transaction
TXN-0000019,ACCT-000134,CUST-00134,2026-05-18,2026-05-18,ATM - TuitionPay,TuitionPay,ATM,-407.7,Posted,REF0000003667,Synthetic transaction
