case_id,customer_id,account_id,related_transaction_id,category,channel,priority,status,opened_at,assigned_queue,kb_article_id,short_summary,requested_action,resolution,customer_sentiment,synthetic_notice
CASE-00001,CUST-00012,ACCT-000212,TXN-0000373,overdraft fee reversal,email,Medium,In Progress,2026-06-14 09:12 ET,Deposits Servicing,KB-0001,Customer requests an overdraft fee refund after a timing or courtesy issue.,Apply courtesy credit when eligible; otherwise explain policy and alternatives.,Pending copilot recommendation,Neutral,Synthetic service case
CASE-00002,CUST-00023,ACCT-000023,TXN-0000346,card replacement,phone,High,Waiting on Customer,2026-05-29 10:03 ET,Cards Operations,KB-0002,"Customer needs a replacement card due to loss, damage, expiration, or suspected compromise.","Verify identity, block old card when needed, confirm delivery address and shipping speed.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00003,CUST-00034,ACCT-000234,TXN-0000319,address change,secure message,Urgent,Resolved,2026-05-22 11:14 ET,Customer Maintenance,KB-0003,Customer asks to update mailing or residential address.,Complete step-up verification and confirm tax-document and card-delivery impacts.,Address update queued,Neutral,Synthetic service case
CASE-00004,CUST-00045,ACCT-000045,TXN-0000292,payment not posted,chat,Low,Escalated,2026-05-15 12:00 ET,Payments Research,KB-0004,"Customer says a bill pay, loan, card, or deposit payment has not appeared.","Collect trace data, check posting windows, and open research if outside SLA.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00005,CUST-00056,ACCT-000256,TXN-0000265,account access issue,email,Medium,New,2026-06-06 13:56 ET,Digital Support,KB-0005,"Customer cannot sign in, pass MFA, reset password, or access mobile banking.","Validate identity, unlock profile, reset MFA when appropriate, and warn about scams.",Pending copilot recommendation,Confused,Synthetic service case
CASE-00006,CUST-00067,ACCT-000067,TXN-0000238,wire transfer question,phone,High,In Progress,2026-06-09 14:54 ET,Wire Desk,KB-0006,"Customer asks about wire status, cutoff, fees, limits, or required details.","Explain cutoff, fee, status, and escalation path without promising settlement.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00007,CUST-00078,ACCT-000278,TXN-0000211,loan payoff question,secure message,Urgent,Waiting on Customer,2026-06-06 15:38 ET,Loan Servicing,KB-0007,"Customer requests payoff balance, quote expiration, per diem, or lien release timing.","Generate payoff quote, explain good-through date and acceptable payment methods.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00008,CUST-00089,ACCT-000089,TXN-0000184,dispute handoff,chat,Low,Resolved,2026-06-12 16:04 ET,Disputes Intake,KB-0008,Customer reports an unauthorized or incorrect transaction that requires formal dispute handling.,"Capture facts, provide provisional credit expectations, and transfer to disputes.",Dispute handoff completed,Frustrated,Synthetic service case
CASE-00009,CUST-00100,ACCT-000300,TXN-0000157,complaint escalation,email,Medium,Escalated,2026-06-09 08:04 ET,Executive Resolution,KB-0009,"Customer expresses dissatisfaction, regulatory concern, hardship, or repeated unresolved contact.","Acknowledge complaint, avoid defensiveness, create escalation record, and set follow-up window.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00010,CUST-00111,ACCT-000111,TXN-0000130,overdraft fee reversal,phone,High,Escalated,2026-05-09 09:39 ET,Deposits Servicing,KB-0001,Customer requests an overdraft fee refund after a timing or courtesy issue.,Apply courtesy credit when eligible; otherwise explain policy and alternatives.,Pending copilot recommendation,Confused,Synthetic service case
CASE-00011,CUST-00122,ACCT-000322,TXN-0000103,card replacement,secure message,Urgent,In Progress,2026-06-10 10:37 ET,Cards Operations,KB-0002,"Customer needs a replacement card due to loss, damage, expiration, or suspected compromise.","Verify identity, block old card when needed, confirm delivery address and shipping speed.",Pending copilot recommendation,Neutral,Synthetic service case
