article_id,category,title,audience,last_reviewed,summary,policy_keywords,source_system,synthetic_notice
KB-0001,overdraft fee reversal,Fee Reversal Playbook,Frontline Agent,2026-06-15,Customer requests an overdraft fee refund after a timing or courtesy issue.,overdraft fee reversal; Deposits Servicing; Fee decision documented,KnowledgeBase-SYN,Synthetic knowledge article
KB-0002,card replacement,Debit Card Replacement Procedure,Frontline Agent,2026-06-12,"Customer needs a replacement card due to loss, damage, expiration, or suspected compromise.",card replacement; Cards Operations; Card replacement initiated,KnowledgeBase-SYN,Synthetic knowledge article
KB-0003,address change,Address Change Verification Standard,Frontline Agent,2026-06-09,Customer asks to update mailing or residential address.,address change; Customer Maintenance; Address update queued,KnowledgeBase-SYN,Synthetic knowledge article
KB-0004,payment not posted,Missing Payment Research Guide,Frontline Agent,2026-06-06,"Customer says a bill pay, loan, card, or deposit payment has not appeared.",payment not posted; Payments Research; Payment research opened,KnowledgeBase-SYN,Synthetic knowledge article
KB-0005,account access issue,Online Access Recovery Guide,Supervisor,2026-06-03,"Customer cannot sign in, pass MFA, reset password, or access mobile banking.",account access issue; Digital Support; Access recovery completed,KnowledgeBase-SYN,Synthetic knowledge article
KB-0006,wire transfer question,Wire Transfer FAQ,Frontline Agent,2026-05-31,"Customer asks about wire status, cutoff, fees, limits, or required details.",wire transfer question; Wire Desk; Wire guidance provided,KnowledgeBase-SYN,Synthetic knowledge article
KB-0007,loan payoff question,Loan Payoff Quote Procedure,Frontline Agent,2026-05-28,"Customer requests payoff balance, quote expiration, per diem, or lien release timing.",loan payoff question; Loan Servicing; Payoff instructions sent,KnowledgeBase-SYN,Synthetic knowledge article
KB-0008,dispute handoff,Reg E Dispute Intake Checklist,Frontline Agent,2026-05-25,Customer reports an unauthorized or incorrect transaction that requires formal dispute handling.,dispute handoff; Disputes Intake; Dispute handoff completed,KnowledgeBase-SYN,Synthetic knowledge article
KB-0009,complaint escalation,Complaint Escalation Standard,Frontline Agent,2026-05-22,"Customer expresses dissatisfaction, regulatory concern, hardship, or repeated unresolved contact.",complaint escalation; Executive Resolution; Complaint escalated,KnowledgeBase-SYN,Synthetic knowledge article
KB-0010,overdraft fee reversal,Fee Reversal Playbook Addendum,Supervisor,2026-05-19,Customer requests an overdraft fee refund after a timing or courtesy issue.,overdraft fee reversal; Deposits Servicing; Fee decision documented,KnowledgeBase-SYN,Synthetic knowledge article
